"place","sex","age","health","occupational_group","count"
"ABERDEEN CITY","Male","16 to 24","Good Health","Large employers and higher managerial occupations",49
"ABERDEEN CITY","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",4
"ABERDEEN CITY","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",2
"ABERDEEN CITY","Male","25 to 34","Good Health","Large employers and higher managerial occupations",509
"ABERDEEN CITY","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",59
"ABERDEEN CITY","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",4
"ABERDEEN CITY","Male","35 to 49","Good Health","Large employers and higher managerial occupations",1476
"ABERDEEN CITY","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",191
"ABERDEEN CITY","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",43
"ABERDEEN CITY","Male","50 to 54","Good Health","Large employers and higher managerial occupations",400
"ABERDEEN CITY","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",79
"ABERDEEN CITY","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",13
"ABERDEEN CITY","Male","55 to 59","Good Health","Large employers and higher managerial occupations",163
"ABERDEEN CITY","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",47
"ABERDEEN CITY","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",12
"ABERDEEN CITY","Male","60 to 64","Good Health","Large employers and higher managerial occupations",102
"ABERDEEN CITY","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",19
"ABERDEEN CITY","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",11
"ABERDEEN CITY","Male","65 to 74","Good Health","Large employers and higher managerial occupations",24
"ABERDEEN CITY","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",9
"ABERDEEN CITY","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",4
"ABERDEEN CITY","Female","16 to 24","Good Health","Large employers and higher managerial occupations",38
"ABERDEEN CITY","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",8
"ABERDEEN CITY","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",1
"ABERDEEN CITY","Female","25 to 34","Good Health","Large employers and higher managerial occupations",283
"ABERDEEN CITY","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",31
"ABERDEEN CITY","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",11
"ABERDEEN CITY","Female","35 to 49","Good Health","Large employers and higher managerial occupations",380
"ABERDEEN CITY","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",66
"ABERDEEN CITY","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",14
"ABERDEEN CITY","Female","50 to 54","Good Health","Large employers and higher managerial occupations",71
"ABERDEEN CITY","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",17
"ABERDEEN CITY","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",6
"ABERDEEN CITY","Female","55 to 59","Good Health","Large employers and higher managerial occupations",34
"ABERDEEN CITY","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",9
"ABERDEEN CITY","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",5
"ABERDEEN CITY","Female","60 to 64","Good Health","Large employers and higher managerial occupations",23
"ABERDEEN CITY","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",11
"ABERDEEN CITY","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",1
"ABERDEEN CITY","Female","65 to 74","Good Health","Large employers and higher managerial occupations",4
